Jodi Logan,05/29/61,627076396,03/02/19,03/09/19,8807303,E1013
Devin Rodriquez,11/06/62,690327798,03/04/19,03/10/19,6430571,E1014
Raymond Garner,02/08/63,604724373,03/06/19,03/11/19,5309645,E1010
Michele Pierce,05/28/63,650516187,03/07/19,03/12/19,6730328,E1011
Dianna Manning,03/13/65,685761166,03/08/19,03/13/19,4807603,E1012
April Graves,09/04/65,681973897,03/09/19,03/14/19,4268553,E1006
Wade Barker,01/05/66,668044880,03/10/19,03/27/19,6535912,E1007
Willard Copeland,01/22/67,677784934,03/11/19,03/28/19,4370732,E1005
Tracy Montgomery,06/22/68,611500814,03/12/19,03/29/19,4830001,E1009
Ivan Martinez,10/09/71,661351786,03/14/19,03/30/19,6499155,S1215
Brandy Singleton,08/05/74,623295254,03/15/19,04/01/19,8726763,S1252
Omar Morgan,03/24/75,633922290,03/18/19,04/03/19,4222556,S1253
Orlando Harvey,01/27/77,683912104,03/19/19,04/05/19,5102529,S1216
Doreen Maxwell,04/03/78,605931151,03/20/19,04/06/19,4628417,S1217
Darin Rose,11/27/78,688810621,03/22/19,04/07/19,5541118,S1218
Glen Sims,03/18/79,618787353,03/23/19,04/08/19,9967193,S1219
Noah Erickson,10/24/79,686080750,03/24/19,04/09/19,4238399,S1254
Roberta Guerrero,08/19/80,611045035,03/30/19,04/10/19,6860067,S1255
Betsy Bell,07/25/85,692510634,03/31/19,04/11/19,9549647,S1256
Sheri Fuller,11/13/88,641991108,04/01/19,04/12/19,7445431,S1220
Pedro Howell,08/28/89,614058402,04/03/19,04/15/19,4852617,S1221
Greg French,04/16/90,602638626,04/04/19,04/16/19,4556605,S1257
Brent Page,10/16/92,616972504,04/05/19,04/17/19,5115613,S1258
Jessie Howard,01/04/94,664249018,04/07/19,04/19/19,8947323,P1125
Elizabeth Curtis,01/05/95,697671170,04/09/19,04/20/19,9647747,P1126
Clark Hansen,02/10/63,610097832,03/02/19,03/08/19,4604422,P1127
Kelli Knight,03/16/66,620302501,03/04/19,03/11/19,5225212,P1106
Eula Underwood,07/28/66,619614070,03/06/19,03/12/19,4658981,P1107
Lynda Beck,09/01/67,636587787,03/07/19,03/13/19,5998498,P1108
Duane Long,12/13/67,638865864,03/08/19,03/15/19,4524443,P1109
Darrin Hicks,02/23/69,622058463,03/09/19,03/16/19,6690297,P1110
Levi Lopez,03/04/70,622234590,03/11/19,03/17/19,7766165,P1128
Annette Hanson,06/16/70,604888027,03/12/19,03/18/19,6637847,P1129
Delbert Parker,10/01/70,668287420,03/13/19,03/19/19,6449899,L1335
Floyd Smith,04/21/71,636015268,03/14/19,03/20/19,7585321,L1336
Oliver Moreno,01/16/73,615232299,03/15/19,03/22/19,6275573,L1337
Johnnie Blair,10/08/73,657465882,03/16/19,03/23/19,9678410,L1315
Pam Buchanan,06/15/74,609461295,03/18/19,03/24/19,9357284,L1316
Rick Valdez,10/04/75,676164908,03/19/19,03/26/19,9196567,L1317
Elena Lucas,10/21/76,632266856,03/20/19,03/27/19,8424247,L1338
Louise Sherman,11/02/79,688506940,03/23/19,03/29/19,7875137,L1339
Hannah Padilla,01/24/84,663245355,03/24/19,03/30/19,8816972,C1225
Doug Lambert,02/05/87,605059323,03/28/19,04/03/19,7757859,C1226
Jaime Vega,05/02/88,660472766,03/30/19,04/05/19,9794508,C1235
Jean Maldonado,03/15/89,697183058,03/31/19,04/06/19,9436103,C1236
Seth Rivera,11/28/92,602616694,04/01/19,04/12/19,5927209,H1426
Lori Santos,03/24/95,662597190,04/02/19,04/15/19,8674762,H1427
Terence Ramsey,07/20/95,645712475,04/03/19,04/17/19,7086915,H1428
Marion Allen,09/18/95,692299913,04/04/19,04/18/19,8603528,H1412
Erin Ellis,12/19/95,665987093,04/08/19,04/19/19,5757506,H1413
